Name,Abbreviation,Nickname
Congregation of the Mission,C.M.,Vincentians/Lazarists
Congregation of Marian Fathers of the Immaculate Conception of the Most Blessed Virgin Mary,M.I.C.,Marian Fathers
Catholic Foreign Mission Society of America,M.M.,Maryknoll
Order of Friars Minor,O.F.M.,Franciscans
Order of Friars Minor Capuchin,O.F.M. Cap.,Capuchins
Order of Friars Minor Conventual,O.F.M. Conv.,Conventual Franciscans
Oblates of Mary Immaculate,O.M.I.,Oblates of Mary Immaculate
Order of St. Augustine,O.S.A.,Augustinians
Order of Saint Benedict,O.S.B.,Benedictines
Order of Friars Preachers,O.P.,Dominicans
Society of Priests of Saint Sulpice,P.S.S.,Sulpicians
Salesians of Saint John Bosco,S.D.B.,Salesians of St. John Bosco
Society of Jesus,S.J.,Jesuits
Society of the Catholic Apostolate,S.A.C.,Pallottines
St. Joseph’s Society of the Sacred Heart,S.S.J.,Josephite Fathers
Augustinians of the Assumption,A.A.,Assumptionists
Apostles of Jesus Missionaries,A.J.,
Opus Spiritus Sancti,ALCP/OSS,Holy Spirit Fathers
Clerics Regular of St. Paul,B.,Barnabites
Ordre Basilien Alépin (Melkite Greek),B.A.,
Basilian Chouerite Order of Saint John the Baptist (Melkite Greek),B.C.,
Arrouhbaniat Albassiliat Almoukhalissiat (Melkite Greek),B.S.,Basilian Salvatorian Order
Fraters van O.L.V. Moeder van Barmhartigheid,C. M. M.,CMM Brothers
Congregation of the Resurrection of Our Lord Jesus Christ,C. R.,Resurrectionists
Compagnia di San Paolo,C. S. P.,
Congregazione Mechitarista,C.A.M.,Mechitarists
Companions of the Cross,C.C.,
Congregation of the Disciples of the Lord,C.D.D.,
Fratelli Celliti o Alessiani de Aquisgrana,C.F.A.,Alexian Brothers
Christian Brothers,C.F.C.,
Broeders van de Onbevlekte Ontvangenis van de Allerheiligste Maagd en Moeder Gods Maria,C.F.H.,Broeders van Huijbergen
Congregazione dei Figli dell’Immacolata Concezione,C.F.I.C.,Concezionisti
Armen-Brüder des Heiligen Franziskus Seraphikus,C.F.P.,
Franciscan Friars of the Renewal,C.F.R.,
Congregation of the Priestly Fraternity,C.F.S.,
Xaverian Brothers,C.F.X.,
Congregration of Jesus the Priest,C.G.S.,
Congregation of the Immaculate Heart of Mary,C.I.C.M.,Scheutists
Congregation of Jesus and Mary,C.I.M.,Eudists
Institute of the Josephites of Belgium,C.J.,Josephites of Belgium
,,
Missionary Sons of the Immaculate Heart of Mary,C.M.F.,Claretians
Carmelites of Mary Immaculate,C.M.I.,
Congregation of Mariannhill Missionaries,C.M.M.,Marianhiller Missionare
Missionary Congregation of Saint Andrew the Apostle (Ukrainian),C.M.S.A.A.,
Franciscan Missionary Brothers,C.M.S.F.,
Confederation of Oratorians of St. Philip Neri,C.O.,Oratorians
Société de l’Oratoire de Jésus,C.O.I.,Oratorians of France
Congregation of Christian Workers of Saint Joseph Calasanz,C.Op.,Calasantini
Congregation of the Passion,C.P.,Passionists
Parochial Cooperators of Christ the King,C.P.C.R.,
Fathers of Mercy,C.P.M.,
Society of Precious Blood,C.Pp.S.,
Congregation of Clerics Regular,C.R.,Theatines
Swiss Congregation of Canons Regular of Saint Maurice of Agaune,C.R.A.,
Canons Regular of the Hospitaller Congregation of Great Saint Bernard,C.R.B.,
Canons Regular of the Immaculate Conception,C.R.I.C.,
Canons Regular of the Congregation of the Most Holy Saviour of the Lateran,C.R.L.,
Canons Regular of the Lateran Congregation of Austria,C.R.L.A.,
Clerics Regular Minor,C.R.M.,Caracciolini
Canons Regular of the Mother of God,C.R.M.G.,
Clerks Regular of Somasca,C.R.S.,Padri Somachi
Confederation of Canons Regular of St. Augustine,C.R.S.A.,
Canons Regular of the Congregation of Saint Victor,C.R.S.V.,
Canons Regular of Saint Augustine of the Congregation of Windesheim,C.R.V.,
Canons Regular of the Congregation of the Brothers of Community Life,C.R.V.C.,
Congregation of the Missionaries of Saint Charles Borromeo,C.S.,Scalabrinians
Broeders van de H. Aloysius Gonzaga,C.S.A.,
Congregation of St. Basil,C.S.B.,Basilian Fathers
Congregation of Holy Cross,C.S.C.,Holy Cross Fathers
Congregation of the Schools of Charity,C.S.Ch.,
Congregazione Sacra Famiglia di Bergamo,C.S.F.,
Congregation of Saint Joseph,C.S.I.,Giuseppini del Murialdo
Congregation of Saint John the Baptist Precursor,C.S.I.B.P.,
Congregation of Saint Michael the Archangel,C.S.M.A.,Michaelites
Paulist Fathers,C.S.P.,Paulists
Rosarian Fathers,C.S.R.,
Congregation of the Sacred Stigmata,C.S.S.,Stigmatine Fathers
Congregation of the Holy Spirit,C.S.Sp.,Holy Ghost Fathers (Spiritans)
Congregation of Saint Theresa of the Child Jesus “Little Flower”,C.S.T.,
Clerics of Saint Viator,C.S.V.,Viatorians
Congregation of the Most Holy Redeemer,C.Ss.R.,Redemptorists
Vincentian Congregation (Syro-Malabar),C.V.,
Emmanuel Community,Comm. l'Emm.,
Congregation of Christian Doctrine,D.C.,Dottrinari
Camaldolese Hermits of Mount Corona,E.C.M.C.,Camaldolese
Clerical Society of Virgo Flos Carmeli,E.P.,
Frères de la Charité de Gand,F. C.,Brothers of Charity
Congregation of the Sons of Mary Immaculate,F. M. I.,Pavonians
Congregation of the Sons of Merciful Love,F.A.M.,
Sons of Charity,F.C.,
Sons of Charity,F.d.C.C.,Canossians
Brothers of Our Lady of Mercy,F.D.M.,CMM Brothers
Sons of Divine Providence,F.D.P.,
Franziskanerbrüder vom Heiligen Kreuz,F.F.S.C.,
Franciscan Friars of the Immaculate,F.I.,
Broeders van de Onbevlekte Ontvangenis van de Heilige Maagd Maria,F.I.C.,
Fratelli dell’Istruzione Cristiana di Ploërmel,F.I.C.P.,
Frères Joséphites,F.J.,Bayozefiti
Fils de Marie Immaculée,F.M.I.,Pères de Chavagnes
Barmherzige Brüder von Montabaur,F.M.M.,
Barmherzige Brüder von Maria-Hilf,F.M.M.A.,
Missionary Brothers of the Countryside,F.M.R.,
Fratelli Maristi delle Scuole (Piccoli Fratelli di Maria),F.M.S.,Marist Brothers
Congregation of the Holy Family of Nazareth of Blessed Father Piamarta,F.N.,
Broeders van O.L. Vrouw van Lourdes,F.N.D.L.,
